sentence,offsets,correction,old_type,new_type,comment
"On the other hand , the theatre restaurant was closed because unknown reasons .
",0 4,for,R:OTHER,R:PREP/R:CONJ,A subordinate conjuction that needs to be replaced with a preposition- different POS
"There was only a person who used to call her by this name .
",3 4,one,R:OTHER,R:DET,Cardinal numbers can be considered determiners
"At this moment Carole was living with her husband but they did n't love each other any more .
",1 3,,R:OTHER,,
"It was so long time to wait in the theatre .
",2 3,,R:OTHER,,
"I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US TO THE RIVER TRIP TO GREENWICH .
",18 19,on,R:OTHER,R:PREP,
"I WOULD LIKE TO KNOW IF THERE IS ANY CHANCE OF CHANGING THE PROGRAMME BECAUSE WE HAVE FOUND A VERY INTERESTING ACTIVITY TO DO ON TUESDAY 14 MARCH . IT CONSISTS ON VISITING THE LONDON FASHION AND LEISURE SHOW IN THE CENTRAL EXHIBITION HALL .
",30 32,involves,R:OTHER,R:VERB,Two-token mistake.
"ON THE OTHER HAND , WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL .
",0 4,,R:OTHER,,
"I WILL BE WRITING ANXIOUSLY FOR YOUR RESPONSE .
",3 4,waiting,R:OTHER,R:VERB,
"THIS SITUATION AFFECTS FAMOUS PERSONAL LIVES BECAUSE THEY ARE NOT ALLOWED TO HAVE PRIVACY
",4 6,,R:OTHER,,
"THE MOST IMPORTANT THING IS THAT , ALTHOUGH THEY ARE FAMOUS , THEY ARE JUST NORMAL PEOPLE THAT DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS AND FANS FOLLOWING THEM ALL THE TIME , AND ON THE OTHER HAND PEOPLE HAVE TO LEARN TO RESPECT THE FAMOUS RIGHT TO KEEP THEIR PERSONAL LIVES IN SECRET .
",46 48,,R:OTHER,NOUN:POSS,"Clearly a possessive case issue, however, it does not satisfy the requirements to be in the M,R,U categories"
"It is in the Central Exhibition Hall and will start and ten o'clock and finish at five o'clock in the evening .
",10 11,at,R:OTHER,M:PREP,
"Unfortunately , only six countries were represented this year at the festival , but I hope that soon there would be much more of them .
",21 22,many,R:OTHER,R:DET,Quantifiers can be used as determiners before nouns
"Then , I want to say , that plays and films were exellent , but it was n't enough of them for me .
",15 16,there,R:OTHER,,
